Stock,Model,Hypothesis,Regime,MAE,RMSE,R2,Direction_Accuracy
HILS,SVR,H1,Overall,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,SVR,H1,HighVol,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,RF,H1,Overall,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,RF,H1,HighVol,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,LSTM_MLP,H1,Overall,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
HILS,LSTM_MLP,H1,HighVol,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
NRR,SVR,H1,Overall,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,SVR,H1,HighVol,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,RF,H1,Overall,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,RF,H1,HighVol,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,LSTM_MLP,H1,Overall,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
NRR,LSTM_MLP,H1,HighVol,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
TLW,SVR,H1,Overall,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,SVR,H1,HighVol,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,RF,H1,Overall,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,RF,H1,HighVol,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,LSTM_MLP,H1,Overall,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TLW,LSTM_MLP,H1,HighVol,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TTG,SVR,H1,Overall,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,SVR,H1,HighVol,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,RF,H1,Overall,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,RF,H1,HighVol,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,LSTM_MLP,H1,Overall,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
TTG,LSTM_MLP,H1,HighVol,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
VID,SVR,H1,Overall,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,SVR,H1,HighVol,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,RF,H1,Overall,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
VID,RF,H1,HighVol,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
VID,LSTM_MLP,H1,Overall,0.17911359324179082,0.22309636167327038,-6.602823440725051,0.527927927927928
VID,LSTM_MLP,H1,HighVol,0.17911359324179082,0.22309636167327038,-6.602823440725051,0.527927927927928
AZN,SVR,H1,Overall,0.031091991176203513,0.04065833447252121,-0.7070172551326965,0.5477477477477477
AZN,SVR,H1,HighVol,0.031091991176203513,0.04065833447252121,-0.7070172551326965,0.5477477477477477
AZN,RF,H1,Overall,0.0276763564008841,0.03656615548566456,-0.3806937086487121,0.5099099099099099
AZN,RF,H1,HighVol,0.0276763564008841,0.03656615548566456,-0.3806937086487121,0.5099099099099099
AZN,LSTM_MLP,H1,Overall,0.04950334788303547,0.07046778493327678,-4.1276690016643816,0.5063063063063064
AZN,LSTM_MLP,H1,HighVol,0.04950334788303547,0.07046778493327678,-4.1276690016643816,0.5063063063063064
SPX,SVR,H1,Overall,0.032600481548987204,0.0411467907021875,-0.2680620861083154,0.5459459459459459
SPX,SVR,H1,HighVol,0.032600481548987204,0.0411467907021875,-0.2680620861083154,0.5459459459459459
SPX,RF,H1,Overall,0.03129783703200154,0.038853741337292205,-0.13066584155401584,0.47387387387387386
SPX,RF,H1,HighVol,0.03129783703200154,0.038853741337292205,-0.13066584155401584,0.47387387387387386
SPX,LSTM_MLP,H1,Overall,0.06568805974326435,0.08304695487374672,-4.165543318168524,0.5351351351351351
SPX,LSTM_MLP,H1,HighVol,0.06568805974326435,0.08304695487374672,-4.165543318168524,0.5351351351351351
SYNT,SVR,H1,Overall,0.12156488248247015,0.16883306992651267,-2.419264379370001,0.5927927927927928
SYNT,SVR,H1,HighVol,0.12156488248247015,0.16883306992651267,-2.419264379370001,0.5927927927927928
SYNT,RF,H1,Overall,0.19550412650701424,0.2265807604800253,-5.1583406362817215,0.5891891891891892
SYNT,RF,H1,HighVol,0.19550412650701424,0.2265807604800253,-5.1583406362817215,0.5891891891891892
SYNT,LSTM_MLP,H1,Overall,0.23178308246673426,0.2639069901178251,-7.354480203496198,0.5945945945945946
SYNT,LSTM_MLP,H1,HighVol,0.23178308246673426,0.2639069901178251,-7.354480203496198,0.5945945945945946
VP,SVR,H1,Overall,0.03642537384982145,0.047935437155672424,-0.6905179137317077,0.4954954954954955
VP,SVR,H1,HighVol,0.03642537384982145,0.047935437155672424,-0.6905179137317077,0.4954954954954955
VP,RF,H1,Overall,0.036869215086899665,0.0503459773911415,-0.8648158222893407,0.4954954954954955
VP,RF,H1,HighVol,0.036869215086899665,0.0503459773911415,-0.8648158222893407,0.4954954954954955
VP,LSTM_MLP,H1,Overall,0.05595112216058507,0.07263589764618458,-2.881584173509573,0.4144144144144144
VP,LSTM_MLP,H1,HighVol,0.05595112216058507,0.07263589764618458,-2.881584173509573,0.4144144144144144
SRE,SVR,H1,Overall,0.03710478231822494,0.04688800055027942,-0.6149721937828223,0.4756756756756757
SRE,SVR,H1,HighVol,0.03710478231822494,0.04688800055027942,-0.6149721937828223,0.4756756756756757
SRE,RF,H1,Overall,0.031334674861345675,0.039590392729532714,-0.15138678885136647,0.4918918918918919
SRE,RF,H1,HighVol,0.031334674861345675,0.039590392729532714,-0.15138678885136647,0.4918918918918919
SRE,LSTM_MLP,H1,Overall,0.06418076567671309,0.07743176042970944,-3.4043303747924423,0.5351351351351351
SRE,LSTM_MLP,H1,HighVol,0.06418076567671309,0.07743176042970944,-3.4043303747924423,0.5351351351351351
MGAM,SVR,H1,Overall,0.029779555998677123,0.03773769500744707,-0.16692355037112283,0.4702702702702703
MGAM,SVR,H1,HighVol,0.029779555998677123,0.03773769500744707,-0.16692355037112283,0.4702702702702703
MGAM,RF,H1,Overall,0.026611035506008657,0.03495872351551656,-0.0013889551598118555,0.5063063063063064
MGAM,RF,H1,HighVol,0.026611035506008657,0.03495872351551656,-0.0013889551598118555,0.5063063063063064
MGAM,LSTM_MLP,H1,Overall,0.05865532072226944,0.07305887069708016,-3.3735850254327318,0.4666666666666667
MGAM,LSTM_MLP,H1,HighVol,0.05865532072226944,0.07305887069708016,-3.3735850254327318,0.4666666666666667
ICGT,SVR,H1,Overall,0.04013268757409686,0.04931544400605481,-1.8773470141592945,0.4828828828828829
ICGT,SVR,H1,HighVol,0.04013268757409686,0.04931544400605481,-1.8773470141592945,0.4828828828828829
ICGT,RF,H1,Overall,0.026236985564315567,0.03321452387820351,-0.3052160612458832,0.4846846846846847
ICGT,RF,H1,HighVol,0.026236985564315567,0.03321452387820351,-0.3052160612458832,0.4846846846846847
ICGT,LSTM_MLP,H1,Overall,0.0469298089759577,0.05920535472399703,-3.1471364197581453,0.4864864864864865
ICGT,LSTM_MLP,H1,HighVol,0.0469298089759577,0.05920535472399703,-3.1471364197581453,0.4864864864864865
PAY,SVR,H1,Overall,0.031208595857295615,0.04050188496957429,-0.1325262085118526,0.46126126126126127
PAY,SVR,H1,HighVol,0.031208595857295615,0.04050188496957429,-0.1325262085118526,0.46126126126126127
PAY,RF,H1,Overall,0.058743791593441085,0.06997024508965254,-2.3800613234815455,0.4990990990990991
PAY,RF,H1,HighVol,0.058743791593441085,0.06997024508965254,-2.3800613234815455,0.4990990990990991
PAY,LSTM_MLP,H1,Overall,0.0789716967119762,0.10279464203311792,-6.295225930049277,0.4972972972972973
PAY,LSTM_MLP,H1,HighVol,0.0789716967119762,0.10279464203311792,-6.295225930049277,0.4972972972972973
BIOG,SVR,H1,Overall,0.03851499653433298,0.04825978260322912,-1.3086679284317433,0.527927927927928
BIOG,SVR,H1,HighVol,0.03851499653433298,0.04825978260322912,-1.3086679284317433,0.527927927927928
BIOG,RF,H1,Overall,0.025907263306168434,0.03320817512244227,-0.09315254114671934,0.5081081081081081
BIOG,RF,H1,HighVol,0.025907263306168434,0.03320817512244227,-0.09315254114671934,0.5081081081081081
BIOG,LSTM_MLP,H1,Overall,0.04975865071846061,0.062139907331467174,-2.827647628280671,0.47927927927927927
BIOG,LSTM_MLP,H1,HighVol,0.04975865071846061,0.062139907331467174,-2.827647628280671,0.47927927927927927
GSK,SVR,H1,Overall,0.02832903275057141,0.03522862757870892,-0.6402429941588283,0.5099099099099099
GSK,SVR,H1,HighVol,0.02832903275057141,0.03522862757870892,-0.6402429941588283,0.5099099099099099
GSK,RF,H1,Overall,0.02389876843573576,0.030398721162816323,-0.22131409724975315,0.5387387387387388
GSK,RF,H1,HighVol,0.02389876843573576,0.030398721162816323,-0.22131409724975315,0.5387387387387388
GSK,LSTM_MLP,H1,Overall,0.08983603287720565,0.11921277326789445,-17.78288609734881,0.5171171171171172
GSK,LSTM_MLP,H1,HighVol,0.08983603287720565,0.11921277326789445,-17.78288609734881,0.5171171171171172
JCGI,SVR,H1,Overall,0.03976582417229724,0.051882260852571895,-0.13001715187969443,0.4954954954954955
JCGI,SVR,H1,HighVol,0.03976582417229724,0.051882260852571895,-0.13001715187969443,0.4954954954954955
JCGI,RF,H1,Overall,0.036731532133874804,0.050221517725745464,-0.058831653851336485,0.4720720720720721
JCGI,RF,H1,HighVol,0.036731532133874804,0.050221517725745464,-0.058831653851336485,0.4720720720720721
JCGI,LSTM_MLP,H1,Overall,0.07545917364871269,0.09596751914446865,-2.8663021026841884,0.5117117117117117
JCGI,LSTM_MLP,H1,HighVol,0.07545917364871269,0.09596751914446865,-2.8663021026841884,0.5117117117117117
IBT,SVR,H1,Overall,0.02484405227643263,0.03143454492159559,-0.45601863464938486,0.4918918918918919
IBT,SVR,H1,HighVol,0.02484405227643263,0.03143454492159559,-0.45601863464938486,0.4918918918918919
IBT,RF,H1,Overall,0.019822160176421976,0.025858124195493375,0.014749616856836956,0.5333333333333333
IBT,RF,H1,HighVol,0.019822160176421976,0.025858124195493375,0.014749616856836956,0.5333333333333333
IBT,LSTM_MLP,H1,Overall,0.03783655002608274,0.049100149769230904,-2.5523701497936644,0.4972972972972973
IBT,LSTM_MLP,H1,HighVol,0.03783655002608274,0.049100149769230904,-2.5523701497936644,0.4972972972972973
BGCG,SVR,H1,Overall,0.04071912120479417,0.05133633913588651,-0.61813645570392,0.4486486486486487
BGCG,SVR,H1,HighVol,0.04071912120479417,0.05133633913588651,-0.61813645570392,0.4486486486486487
BGCG,RF,H1,Overall,0.028833435802125745,0.040151620778583086,0.010145154008214252,0.47927927927927927
BGCG,RF,H1,HighVol,0.028833435802125745,0.040151620778583086,0.010145154008214252,0.47927927927927927
BGCG,LSTM_MLP,H1,Overall,0.06454575969021456,0.08606333933632716,-3.547803986016863,0.47927927927927927
BGCG,LSTM_MLP,H1,HighVol,0.06454575969021456,0.08606333933632716,-3.547803986016863,0.47927927927927927
BKG,SVR,H1,Overall,0.03506648658310217,0.044430724209515986,-1.0024513841143743,0.47927927927927927
BKG,SVR,H1,HighVol,0.03506648658310217,0.044430724209515986,-1.0024513841143743,0.47927927927927927
BKG,RF,H1,Overall,0.026443325584617768,0.034456843109915605,-0.20433183776355035,0.5711711711711712
BKG,RF,H1,HighVol,0.026443325584617768,0.034456843109915605,-0.20433183776355035,0.5711711711711712
BKG,LSTM_MLP,H1,Overall,0.04065016782343951,0.05297558379537906,-1.8467327610056117,0.5243243243243243
BKG,LSTM_MLP,H1,HighVol,0.04065016782343951,0.05297558379537906,-1.8467327610056117,0.5243243243243243
FRAS,SVR,H1,Overall,0.0624716469079699,0.07681311735675925,-2.7802201238735034,0.4990990990990991
FRAS,SVR,H1,HighVol,0.0624716469079699,0.07681311735675925,-2.7802201238735034,0.4990990990990991
FRAS,RF,H1,Overall,0.049727796155982634,0.06299246919061725,-1.5422811231381055,0.4846846846846847
FRAS,RF,H1,HighVol,0.049727796155982634,0.06299246919061725,-1.5422811231381055,0.4846846846846847
FRAS,LSTM_MLP,H1,Overall,0.07177006702724022,0.08359795754504107,-3.4775211108677633,0.5045045045045045
FRAS,LSTM_MLP,H1,HighVol,0.07177006702724022,0.08359795754504107,-3.4775211108677633,0.5045045045045045
GNS,SVR,H1,Overall,0.049206148970790994,0.06271230355848033,-0.5282563705382528,0.4828828828828829
GNS,SVR,H1,HighVol,0.049206148970790994,0.06271230355848033,-0.5282563705382528,0.4828828828828829
GNS,RF,H1,Overall,0.047584884778645115,0.06213664973999605,-0.5003285527033356,0.5225225225225225
GNS,RF,H1,HighVol,0.047584884778645115,0.06213664973999605,-0.5003285527033356,0.5225225225225225
GNS,LSTM_MLP,H1,Overall,0.06323940332876639,0.08105763874677804,-1.5531633654482464,0.5171171171171172
GNS,LSTM_MLP,H1,HighVol,0.06323940332876639,0.08105763874677804,-1.5531633654482464,0.5171171171171172
VANQ,SVR,H1,Overall,0.09335318214607133,0.13989777451551566,-0.7805283193584158,0.46306306306306305
VANQ,SVR,H1,HighVol,0.09335318214607133,0.13989777451551566,-0.7805283193584158,0.46306306306306305
VANQ,RF,H1,Overall,0.11852942513273884,0.16352381905871563,-1.4327042660199032,0.47387387387387386
VANQ,RF,H1,HighVol,0.11852942513273884,0.16352381905871563,-1.4327042660199032,0.47387387387387386
VANQ,LSTM_MLP,H1,Overall,0.09107213797788856,0.13877913917800652,-0.7521676288522761,0.4990990990990991
VANQ,LSTM_MLP,H1,HighVol,0.09107213797788856,0.13877913917800652,-0.7521676288522761,0.4990990990990991
MCB,SVR,H1,Overall,0.07466136233206115,0.09668525883508931,-0.7338762243978731,0.4954954954954955
MCB,SVR,H1,HighVol,0.07466136233206115,0.09668525883508931,-0.7338762243978731,0.4954954954954955
MCB,RF,H1,Overall,0.0582989704159384,0.08295808533036318,-0.2764829049967341,0.4864864864864865
MCB,RF,H1,HighVol,0.0582989704159384,0.08295808533036318,-0.2764829049967341,0.4864864864864865
MCB,LSTM_MLP,H1,Overall,0.08021737794958089,0.1031418894509154,-0.9731846528503132,0.4756756756756757
MCB,LSTM_MLP,H1,HighVol,0.08021737794958089,0.1031418894509154,-0.9731846528503132,0.4756756756756757
ZIG,SVR,H1,Overall,0.04009354939504216,0.051260123684389536,-1.3019490607078317,0.4540540540540541
ZIG,SVR,H1,HighVol,0.04009354939504216,0.051260123684389536,-1.3019490607078317,0.4540540540540541
ZIG,RF,H1,Overall,0.033862501719644146,0.044204024759261364,-0.7118276481226586,0.5603603603603604
ZIG,RF,H1,HighVol,0.033862501719644146,0.044204024759261364,-0.7118276481226586,0.5603603603603604
ZIG,LSTM_MLP,H1,Overall,0.09237830266710642,0.11676126231127132,-10.943564865171862,0.4900900900900901
ZIG,LSTM_MLP,H1,HighVol,0.09237830266710642,0.11676126231127132,-10.943564865171862,0.4900900900900901
EVOK,SVR,H1,Overall,0.13568884362719694,0.16445760802601703,-2.17409566916912,0.5243243243243243
EVOK,SVR,H1,HighVol,0.13568884362719694,0.16445760802601703,-2.17409566916912,0.5243243243243243
EVOK,RF,H1,Overall,0.21409378181348498,0.26734248661467624,-7.38779949324447,0.4882882882882883
EVOK,RF,H1,HighVol,0.21409378181348498,0.26734248661467624,-7.38779949324447,0.4882882882882883
EVOK,LSTM_MLP,H1,Overall,0.09271327943901943,0.12150166369169407,-0.7325130843715553,0.5153153153153153
